time	latency
0	0.0
100	0.0
201	0.0
302	0.0
402	0.0
502	7.9017525
603	7.9017525
703	7.9017525
805	9.689446
906	9.742552
1006	9.742552
1107	9.742552
1207	9.742552
1308	12.772197
1409	12.772197
1510	13.754474
1611	13.754474
1712	13.736929
1829	15.9995575
1930	16.949764
2031	16.949764
2132	16.949764
2233	16.871063
2334	17.662352
2434	18.321829
2535	18.321829
2636	19.465723
2736	19.465723
2836	19.3414
2938	18.87417
3039	19.242174
3139	19.735605
3240	19.653757
3351	19.55722
3452	19.55722
3553	19.55722
3654	20.161648
3754	21.54003
3855	21.340082
3956	21.206682
4056	21.206682
4156	23.860334
4257	23.677074
4360	25.953747
4461	28.605967
4685	28.509907
4786	27.861238
4887	26.542553
4989	26.927128
5090	26.927128
5190	26.927128
5290	26.747856
5541	26.904474
5642	40.434864
5747	38.31271
5849	37.57842
5950	35.98136
6050	36.278305
6150	35.81417
6251	34.313374
6393	36.59816
6497	35.729965
6598	35.429058
6699	34.950897
6800	35.78583
6900	34.537388
7001	32.618015
7102	31.225353
7203	31.225353
7305	30.521748
7406	32.258526
7567	31.212948
7669	30.80011
7770	28.9997
7870	31.55718
7971	33.123028
8071	31.496674
8172	31.26709
8272	33.04792
8373	31.504593
8474	30.983181
8576	28.874168
8677	31.179935
8777	29.997847
8878	28.786669
8978	27.839378
9079	26.51136
9180	26.51136
9470	23.810219
9570	23.653595
9671	22.909466
9772	29.684082
9872	29.312475
10061	33.544453
10161	33.544453
