time	latency
0	0.0
101	0.0
202	0.0
303	0.0
403	0.0
503	3.2899969
604	3.2899969
704	4.4766965
806	4.4766965
907	4.621929
1007	4.621929
1108	4.621929
1208	4.621929
1309	4.621929
1410	4.6957097
1511	8.847478
1612	10.399002
1713	11.245011
1830	11.245011
1931	11.2600355
2032	11.324361
2133	11.615006
2234	13.92453
2335	13.92453
2435	14.037072
2536	14.854234
2636	18.007818
2737	18.007818
2837	18.867739
2939	18.839062
3040	18.742365
3140	18.742365
3250	18.742365
3352	19.113392
3453	19.113392
3554	19.113392
3655	19.062258
3756	20.319517
3857	20.292257
3958	20.107141
4059	20.006071
4160	19.806952
4261	20.138882
4362	20.353018
4528	23.255856
4629	26.47746
4730	29.582876
4831	30.451338
4932	30.216824
5033	30.216824
5134	31.212408
5235	32.89998
5339	34.576828
5439	32.833164
5540	32.833164
5641	32.71289
5747	31.35655
5848	30.406502
5949	32.81978
6050	30.269146
6150	29.271097
6252	29.271097
6394	30.558384
6498	32.17775
6599	32.219746
6700	31.39149
6801	29.837063
6901	29.706045
7002	30.647335
7103	32.047554
7204	33.347076
7306	31.168024
7407	28.811909
7568	26.913982
7670	28.508036
7771	28.765291
7871	30.902359
7972	30.376904
8073	31.837711
8173	31.537058
8274	30.63681
8375	29.69015
8475	29.50068
8576	28.45671
8678	28.202145
8778	27.975174
8879	26.85409
8979	25.150492
9080	24.546278
9181	24.13741
9471	24.163189
9571	23.76194
9672	23.68432
9772	26.771523
9873	26.06085
10062	28.571259
10162	32.987587
