time	latency
0	0.0
102	0.0
309	0.0
409	17.832
510	17.832
611	33.51768
712	24.073662
813	41.40719
914	34.385033
1015	52.912067
1116	44.53845
1217	42.91384
1318	34.08745
1419	26.861214
1520	32.736397
1621	26.215477
1722	57.425587
1822	51.634975
1923	31.121136
2024	25.084793
2125	36.734158
2226	41.429737
2326	41.429737
2427	32.300816
2527	32.300816
2628	17.141525
2729	15.119347
2829	15.119347
2930	15.119347
3031	23.836937
3132	20.585855
3233	66.877075
3335	47.910583
3436	30.49433
3537	59.960835
3638	79.30081
3738	117.49923
3841	172.74463
3942	49.663284
4055	87.625626
4156	184.08656
4257	137.8606
4358	188.9317
4460	101.18653
4560	101.18653
4661	215.41798
4762	267.7948
4863	97.92262
4965	97.92262
5066	97.92262
5166	97.92262
5268	97.92262
5368	97.92262
5469	97.92262
5569	97.92262
5675	97.92262
5777	97.92262
5877	97.92262
5978	97.92262
6078	97.92262
6272	97.92262
6373	39.17346
6474	29.22142
6575	12.138263
6676	20.816359
6777	37.634407
6877	21.810019
6977	38.757988
7079	42.825993
7180	64.53335
7282	82.54894
7382	59.58426
7482	105.90898
7583	221.68777
7684	52.856655
7784	98.94329
7885	98.94329
7986	98.94329
8086	221.32071
8187	166.05872
8288	33.253296
8389	9.369546
8531	6.841077
8633	9.17449
8736	9.17449
8837	43.447712
8938	12.150987
9039	18.092936
9140	6.7424197
9242	24.454556
9343	10.235639
9444	6.1865163
9544	114.8412
9646	80.388374
9747	41.430305
9847	82.0856
9948	13.506508
