time	latency
0	0.0
101	0.0
204	0.0
313	0.0
414	10.0473995
516	14.033752
617	14.033752
717	19.203135
818	27.870562
919	27.701857
1020	31.500103
1121	32.6151
1222	32.7254
1323	41.965538
1423	41.50163
1525	42.35553
1626	43.186855
1726	45.284252
1827	47.12279
1928	45.578156
2029	46.676647
2130	47.55397
2231	50.301426
2331	49.07601
2432	49.057796
2533	46.755737
2634	45.49846
2734	44.592728
2835	43.921307
2936	42.58477
3036	42.788765
3137	40.837944
3239	41.246082
3340	39.867912
3666	40.686047
3767	46.645668
3868	46.050667
3969	44.783947
4070	45.474632
4170	43.233658
4270	50.243946
4371	53.699722
4472	56.395252
4573	54.704662
4806	51.045944
4906	55.000504
5006	56.551678
5107	56.04013
5207	55.02248
5308	53.45135
5408	53.885666
5509	52.040333
5611	52.38221
5713	47.91568
5814	77.37291
5915	67.12987
6016	70.037605
6120	68.31961
6221	66.41192
6322	63.16175
6423	71.06006
6527	74.10808
6628	77.297104
6728	67.529915
6829	66.12215
6930	52.540207
7032	61.846268
7134	47.481365
7234	46.78177
7335	44.86769
7436	42.342594
7537	38.56105
7638	33.85867
7738	31.74935
7839	32.855946
7940	38.365112
8041	36.546627
8143	35.486744
8244	36.494194
8344	33.43751
8445	29.3124
8546	28.659302
8647	30.806225
8747	33.272865
8849	35.45213
8949	41.95423
9066	53.932083
9166	36.78994
9453	34.468388
9553	34.54115
9654	27.865135
9755	31.02465
9855	33.543934
10044	40.609932
10144	31.085072
