time	latency
0	0.0
101	0.0
202	0.0
303	0.0
403	0.0
503	10.626294
603	10.626294
704	10.626294
806	10.626294
907	11.853548
1007	11.853548
1108	11.853548
1209	13.145012
1310	13.145012
1411	14.265225
1512	15.622572
1613	17.751091
1714	19.920002
1830	20.309952
1930	23.358881
2032	24.799938
2133	24.707973
2234	26.633081
2335	27.907665
2436	27.526667
2536	27.707787
2637	28.970709
2738	30.45377
2839	30.063221
2939	30.522587
3040	31.873146
3140	31.873146
3247	31.684414
3347	31.069471
3449	33.138775
3549	33.205315
3650	35.704002
3751	35.088474
3852	34.846714
3952	35.458725
4054	35.194138
4155	36.971977
4257	40.361164
4357	39.56578
4459	40.983677
4689	42.77663
4790	42.147713
4891	46.94984
4995	46.857788
5096	45.963795
5197	43.673943
5298	45.80451
5542	45.990932
5643	55.54875
5748	67.89909
5850	63.62025
5951	60.077198
6051	58.881332
6153	60.38308
6254	57.296062
6394	63.70625
6498	70.35939
6915	57.013622
7016	50.594673
7117	45.547726
7218	44.03958
7318	45.83708
7420	45.527466
7526	54.12467
7627	63.772877
7729	58.75181
7830	58.48816
7930	60.409374
8207	56.703613
8308	58.096577
8409	63.981773
8510	64.966545
8610	62.66188
8710	56.41929
8811	52.90674
8912	48.657806
9013	43.23774
9114	40.104145
9214	37.372215
9315	37.022663
9416	35.641533
9517	41.26966
9618	42.16464
9719	39.253593
9819	36.364628
9919	41.691444
10019	42.32411
10121	45.56812
10222	38.971672
