time	latency
0	0.0
102	0.0
202	0.0
303	0.31799972
404	0.7048193
505	0.7048193
606	0.86777097
706	1.1890929
807	1.3772018
907	1.3772018
1008	1.6390952
1110	2.0229769
1210	3.1222186
1310	3.2473924
1411	3.2473924
1512	3.3549185
1613	3.3549185
1713	3.3549185
1814	3.3549185
1915	3.4013693
2016	3.4473555
2116	3.7528818
2217	3.9957993
2319	4.045841
2419	4.2153826
2520	5.8885713
2621	6.1690884
2722	6.1873975
2822	7.6670284
2923	8.36801
3025	9.174329
3126	11.061758
3227	11.07114
3327	11.086165
3427	12.7547035
3529	14.597155
3630	14.262554
3730	15.978044
3831	15.671685
3932	15.519019
4036	15.519019
4137	15.623829
4238	16.38451
4339	16.014622
4441	15.845231
4542	16.295216
4643	20.483253
4744	20.103104
4844	20.103104
4945	19.624828
5046	18.582867
5148	18.219141
5248	19.019562
5348	20.917778
5449	24.81982
5550	23.444344
5650	27.988834
5752	27.988834
5852	25.944912
5952	27.047796
6053	27.20607
6153	26.54633
6254	33.98008
6356	32.520557
6458	31.122768
6560	29.84171
6660	29.84171
6760	29.074188
6862	42.469296
6962	40.218086
7063	49.375843
7163	47.81694
7264	45.595707
7366	48.732113
7467	49.314793
7567	45.42613
7667	46.661644
7768	47.566917
7869	50.200714
7970	46.758125
8070	46.768105
8171	47.22451
8272	43.48386
8373	41.987045
8473	41.301105
8573	39.14153
8674	38.10779
8775	37.47875
8876	37.89125
8977	38.07945
9077	37.364883
9177	34.715694
9278	33.961716
9378	30.585049
9480	30.056007
9580	32.011436
9681	35.92901
9784	35.400486
9884	35.400486
9985	36.904118
