time	latency
0	0.0
101	0.0
202	0.0
303	8.457502
403	24.758991
504	24.758991
606	29.671043
707	30.637491
807	30.155617
908	30.155617
1008	29.397835
1109	28.427942
1210	27.556543
1311	27.556543
1411	27.556543
1512	27.556543
1613	26.828716
1713	26.537281
1823	26.537281
1924	26.537281
2025	27.969896
2126	27.969896
2227	27.471401
2328	24.967417
2428	23.08994
2529	23.08994
2630	22.42117
2730	21.062605
2831	21.062605
3191	21.761208
3292	21.223146
3393	21.223146
3493	20.003056
3593	31.85287
3705	38.322384
3806	42.70627
3907	37.52591
4008	35.493988
4108	28.020061
4208	23.290712
4309	20.238913
4410	34.869034
4510	33.3043
4611	30.058523
4711	30.6909
4812	41.519608
4915	47.848946
5015	46.120735
5117	36.67796
5217	58.299118
5317	46.10385
5418	38.29385
5519	30.854877
5620	29.512135
5720	26.458588
5821	19.89337
5921	63.377644
6022	48.607777
6123	65.80461
6224	50.873615
6324	50.873615
6426	39.104492
6527	35.235462
6627	33.765835
6728	36.474823
6829	23.417976
6930	21.524725
7031	21.524725
7131	32.23264
7233	28.25346
7333	18.471443
7434	15.242031
7535	72.98396
7635	58.00661
7736	62.687428
7836	38.57556
7937	32.797913
8038	31.098719
8139	31.475796
8240	23.232502
8341	20.140429
8441	15.487843
8542	22.313452
8643	32.73347
8745	58.161285
8846	46.425156
8947	34.40289
9048	27.183855
9148	21.979952
9249	29.21465
9349	25.39712
9450	19.366974
9551	16.448362
9652	9.984452
9752	13.752529
9852	14.886483
9953	36.105793
10053	31.317396
10153	29.951527
10254	29.951527
10358	29.951527
