time	latency
0	0.0
103	0.0
204	0.0
305	0.0
407	43.83644
507	44.413765
608	49.791756
708	71.83767
809	55.485634
910	48.464508
1011	53.227566
1112	52.832382
1213	49.077805
1314	35.93295
1414	38.075737
1515	26.909166
1616	29.259012
1716	30.024334
1816	48.64274
1918	38.387596
2018	26.201538
2120	18.468847
2221	16.569765
2322	22.136408
2423	16.091784
2524	26.654564
2625	26.352272
2726	29.435684
2827	27.433182
2927	29.91822
3027	20.41006
3128	20.803267
3228	27.47582
3329	25.418736
3430	26.003164
3530	29.521242
3631	23.213942
3732	58.7091
3833	60.680016
3934	23.800001
4034	23.79667
4135	26.520638
4235	12.516088
4336	34.244328
4438	77.27524
4538	95.17193
4639	29.73055
4741	9.044801
4841	34.188225
4942	15.974543
5043	20.128582
5143	4.706426
5244	10.236863
5345	121.85123
5446	84.283775
5547	37.56543
5647	42.90455
5748	84.55777
5848	48.411583
5949	31.94445
6050	40.467842
6150	46.201122
6251	6.888541
6352	17.156866
6453	14.404987
6835	15.429729
6936	11.393049
7037	33.8566
7139	9.643116
7240	11.934573
7341	98.90673
7441	10.100726
7542	27.625298
7643	22.812176
7743	6.017874
7844	38.19113
7945	35.118404
8046	41.67432
8147	9.214464
8247	11.35672
8402	9.224455
8503	17.575058
8604	6.519383
8705	10.469851
8806	25.364109
8907	19.32184
9009	60.93441
9109	8.05212
9210	75.00185
9312	18.592327
9412	89.78119
9513	6.3759074
9613	128.5308
9713	4.066942
9814	34.17886
9915	72.62269
10016	7.025249
10117	20.565664
10219	10.15187
10320	6.638351
