time	latency
0	0.0
101	0.0
201	0.0
302	0.65000015
403	7.239126
504	7.239126
605	10.07717
706	12.723312
806	17.630291
907	23.748777
1009	23.748777
1110	23.748777
1211	23.211338
1312	22.650772
1412	25.117321
1513	26.448381
1614	29.374807
1723	34.356068
1824	34.50135
1925	40.659973
2026	40.276974
2127	40.276974
2228	36.385975
2329	37.405846
2429	37.035553
2529	37.035553
2629	42.567085
2729	42.567085
2831	42.567085
2931	39.621796
3031	39.540707
3131	37.963673
3231	42.49373
3332	42.28368
3433	38.176598
3533	40.61777
3634	39.482914
3734	41.208767
3835	45.678413
3936	41.809765
4038	35.122147
4139	31.5686
4240	27.829252
4341	24.715853
4442	22.83913
4542	28.08483
4643	59.40153
4743	45.67511
4845	45.67511
4945	43.641354
5046	35.97323
5146	45.608173
5247	75.85388
5347	55.677513
5447	79.36389
5547	63.51662
5649	55.125565
5750	56.279408
5851	38.8487
5952	123.32286
6052	80.01111
6153	72.02339
6254	62.51404
6355	42.966724
6455	37.739216
6556	34.71079
6656	28.459492
6757	22.278706
6858	38.156322
6959	36.448505
7060	26.886644
7160	21.26707
7262	15.85676
7362	12.949621
7463	22.704542
7563	21.613348
7664	17.128267
7765	31.305225
7866	47.249443
7968	45.429096
8069	45.429096
8169	41.389763
8269	59.89924
8370	39.53013
8471	26.834412
8572	26.834412
8673	28.412365
8773	39.824516
8874	29.162596
8975	20.068102
9076	17.1947
9177	37.700886
9277	29.81116
9378	19.9171
9479	15.941255
9579	13.758354
9680	22.858358
9781	26.373154
9882	25.752058
9982	34.75453
10084	25.052746
10185	31.00011
10285	38.55011
10386	38.55011
