time	latency
0	0.0
103	0.0
310	0.0
410	6.6000004
511	32.244
612	32.244
713	32.244
814	32.244
915	32.244
1016	74.1708
1117	55.21956
1218	55.21956
1319	51.36904
1420	49.05083
1521	35.764908
1622	27.435434
1723	16.226355
1823	19.320913
1924	51.324642
2025	56.92235
2126	87.696365
2227	69.8641
2328	22.948935
2428	24.194485
2528	40.03614
2628	19.786396
2729	19.786396
2830	19.235334
2930	16.90872
3031	16.90872
3153	26.585274
3255	90.00969
3355	64.38475
3456	26.025967
3557	15.753434
3658	15.753434
3759	87.66943
3860	73.27362
3961	30.241852
4062	18.493956
4162	18.493956
4263	110.0534
4363	163.73738
4464	163.73738
4565	117.616165
4668	192.83464
4769	192.83464
4870	192.83464
4970	192.83464
5071	192.83464
5172	192.83464
5273	192.83464
5375	192.83464
5476	192.83464
5577	192.83464
5677	192.83464
5778	192.83464
5878	192.83464
5978	192.83464
6079	192.83464
6273	1027.4143
6374	359.0661
6474	91.633965
6575	597.64215
6676	111.6807
6778	48.683205
6879	19.188705
6979	58.64231
7080	147.92473
7181	73.33233
7282	86.58423
7383	34.59739
7483	46.529793
7583	17.137903
7685	18.701706
7786	37.60724
7887	60.39755
7988	60.39755
8089	60.39755
8189	68.833725
8289	11.930759
8389	87.01525
8533	94.95097
8634	68.12219
8737	113.75891
8838	24.319908
8939	12.810726
9040	34.207253
9141	37.97242
9243	59.12118
9344	92.88457
9444	37.739403
9545	49.76853
9647	60.87768
9748	23.154613
9848	76.05408
9949	21.712114
