time	latency
0	0.0
101	0.0
201	0.6449994
302	2.6093683
403	5.544636
504	6.3586183
605	10.734692
705	12.166497
806	16.307636
907	17.208887
1008	22.585085
1108	22.902784
1208	23.90851
1309	23.922924
1410	22.73479
1511	25.729805
1612	23.979513
1712	24.205004
1813	22.80239
1914	25.661777
2015	24.457619
2115	24.260935
2216	23.666819
2317	23.666819
2418	22.310543
2519	22.891815
2620	23.226542
2721	24.016565
2822	26.520506
2923	27.275463
3024	26.505812
3125	30.551407
3226	33.241005
3326	32.429737
3427	36.956917
3528	37.458305
3629	33.048286
3730	33.647736
3830	34.372116
3931	38.365334
4035	33.39374
4136	31.806646
4237	36.992817
4338	44.475376
4440	52.549202
4540	47.736954
4640	50.409725
4741	45.711185
4841	37.019756
4942	29.2305
5043	26.289978
5145	21.34568
5246	25.748285
5347	30.251524
5448	30.41273
5549	36.26751
5649	44.327763
5750	34.255554
5851	32.247734
5952	46.25682
6052	39.091858
6153	34.019764
6254	48.956184
6355	36.231945
6457	40.424862
6559	44.68893
6659	35.635406
6759	37.1369
6861	34.789352
6962	31.186256
7062	36.651253
7163	32.150726
7264	27.698788
7365	39.79927
7466	39.683887
7566	34.98378
7666	34.24314
7767	34.980602
7867	31.80076
7968	28.151062
8069	41.30949
8169	43.589996
8270	39.62996
8371	38.455956
8472	45.30034
8572	33.79949
8673	23.624758
8773	20.97362
8874	27.05233
8974	44.44359
9075	27.891048
9176	24.471325
9276	37.230167
9377	31.178198
9478	28.735619
9579	30.881037
9681	39.46391
9782	40.894592
9883	26.571291
9984	33.232613
