time	latency
0	0.0
102	0.0
203	0.0
304	0.0
404	0.6080994
505	0.7020183
606	2.844996
706	2.844996
807	3.9609444
908	3.9609444
1009	4.011335
1109	4.2212214
1209	4.343355
1310	5.689459
1411	5.689459
1512	5.689459
1613	5.862564
1713	5.955451
1814	5.955451
1915	7.07512
2016	7.153525
2117	7.5279694
2218	8.25243
2318	8.651045
2419	8.644534
2520	8.644534
2621	8.648089
2722	10.651607
2823	10.651607
2924	10.65509
3025	11.528538
3126	13.233252
3227	14.33162
3327	15.4583025
3427	18.082743
3528	20.55687
3630	19.85314
3730	19.06186
3831	20.965994
3932	22.991585
4036	22.85167
4137	22.85167
4238	30.777681
4338	30.539904
4441	31.10303
4541	30.314465
4641	29.959106
4742	32.85278
4842	31.954762
4943	31.183186
5044	29.870743
5146	29.355915
5247	28.356792
5348	34.8801
5449	36.990894
5550	36.368397
5650	36.407425
5751	35.17457
5852	33.408463
5952	32.833138
6053	32.202023
6153	31.169949
6254	30.362976
6355	29.59967
6458	29.333675
6560	28.988035
6660	29.548937
6760	32.54707
6862	33.33481
6962	31.351475
7062	34.910614
7163	32.810818
7264	31.438202
7366	38.008984
7467	36.0579
7567	31.494488
7667	29.722546
7768	29.658894
7868	31.978123
7969	32.545742
8070	35.216316
8171	34.298965
8272	34.93019
8373	35.984886
8473	33.37298
8573	32.501213
8674	32.36964
8774	31.135674
8875	30.076096
8975	31.14138
9076	29.777122
9177	29.416586
9277	28.658262
9378	26.55476
9479	25.89486
9580	26.985235
9682	28.046803
9782	27.008987
9882	27.098896
9983	26.937908
