time	latency
0	0.0
103	0.0
310	0.0
410	0.0
511	22.2
612	22.2
713	22.2
814	36.078
915	28.5546
1016	25.98822
1117	25.98822
1218	25.391754
1319	39.074226
1420	40.026375
1521	40.026375
1622	40.026375
1723	31.318462
1823	25.822924
1924	21.376045
2025	106.81199
2126	65.29251
2227	48.10476
2328	40.573334
2428	32.030933
2528	32.030933
2629	32.030933
2730	23.816761
2830	16.99327
2930	19.39529
3031	16.276703
3153	55.793694
3255	61.080235
3355	78.649315
3456	60.255714
3557	106.3853
3657	106.3853
3757	76.56971
3858	55.398796
3958	104.36868
4059	29.662415
4160	29.662415
4261	31.45921
4362	29.221447
4462	29.221447
4564	21.955013
4668	29.768509
4769	29.768509
4870	29.768509
4970	29.768509
5071	29.768509
5172	29.768509
5272	29.768509
5373	29.768509
5473	29.768509
5575	29.768509
5677	29.768509
5778	29.768509
5879	29.768509
5979	29.768509
6080	29.768509
6273	29.768509
6374	8.759943
6475	6.3323717
6576	5.652862
6677	7.435071
6778	20.73496
6878	44.538692
6979	50.274773
7080	36.69234
7181	87.57934
7283	46.2134
7383	19.346195
7483	9.053744
7584	4.587989
7685	8.782425
7786	20.87114
7887	14.846858
7988	32.11496
8089	32.11496
8189	46.533714
8289	5.7365255
8390	16.605774
8532	12.694246
8632	34.871582
8737	57.37797
8838	8.080275
8939	8.522471
9041	6.032093
9142	44.348156
9243	12.362194
9344	126.86824
9445	20.115866
9545	4.720779
9647	6.077227
9748	14.641741
9848	47.850117
9950	17.056988
