time	latency
0	0.0
103	0.0
203	0.0
304	0.0
406	25.146805
507	25.146805
607	26.675022
708	36.55677
809	36.55677
910	45.670982
1010	42.10388
1111	56.08773
1212	56.08773
1313	47.20895
1413	40.329243
1514	40.329243
1615	37.396317
1716	37.396317
1817	33.121017
1918	30.422222
2019	45.402
2119	38.895622
2220	35.840904
2321	36.76113
2422	29.556864
2523	20.952232
2624	19.701307
2725	22.712027
2826	20.915066
2926	17.901081
3026	17.510973
3127	17.399498
3228	17.399498
3329	15.523594
3430	14.671234
3530	29.324333
3631	33.691902
3731	48.40256
3832	37.054466
3933	26.381931
4033	24.243738
4134	21.33743
4234	18.323317
4335	90.96235
4435	66.58479
4536	63.315315
4637	58.425404
4738	52.16512
4838	70.31783
4940	30.423267
5041	25.592844
5142	25.592844
5243	29.87704
5344	30.2292
5445	17.346003
5545	28.700266
5646	28.700266
5746	46.998646
5847	23.098587
5948	18.322868
6049	30.72751
6150	17.366783
6250	16.430103
6351	31.280848
6452	18.809568
6834	21.41808
6935	33.264545
7036	20.460474
7138	14.726816
7239	19.290724
7340	31.33587
7440	25.374464
7541	8.675798
7642	8.675798
7742	6.7610116
7843	81.928116
7944	25.84175
8045	20.041866
8146	13.705519
8246	8.173671
8401	16.66583
8502	13.127527
8602	18.859041
8702	26.373117
8802	46.194744
8903	17.335695
9003	31.460724
9104	20.215279
9205	43.785427
9305	30.626118
9407	18.171618
9507	39.777115
9607	48.799408
9707	48.799408
9809	49.29477
9909	15.614462
10010	13.034851
10111	71.14548
10218	71.14548
10319	71.14548
