time	latency
0	0.0
102	0.0
203	0.0
304	0.3387997
404	0.3387997
505	0.49541155
606	3.6216133
706	3.6216133
807	3.748543
907	3.748543
1009	3.7810576
1110	4.580864
1210	5.2726035
1310	5.356979
1411	6.0634084
1512	6.151447
1613	7.159132
1713	7.359682
1814	7.3760853
1915	7.684516
2016	7.7076707
2116	7.990594
2217	8.180688
2319	9.215307
2419	10.584317
2520	10.838473
2621	11.110587
2722	11.110587
2823	11.315003
2924	11.249035
3025	11.249035
3126	13.845432
3227	14.436977
3327	15.657333
3428	17.702988
3529	17.615957
3630	18.967373
3730	18.92702
3831	18.542973
3932	22.65118
4036	22.359324
4137	22.359324
4238	21.932638
4339	26.079044
4441	25.968254
4542	25.345675
4643	25.886234
4744	24.032185
4844	23.831863
4945	23.783546
5046	23.832857
5146	23.448183
5247	22.583744
5348	21.860172
5449	21.25685
5550	21.856216
5650	27.58901
5752	30.617994
5853	28.865536
5953	28.117006
6053	26.859041
6153	26.404148
6255	27.419758
6355	25.545256
6458	24.716284
6559	24.129385
6660	24.068092
6760	24.90479
6862	24.482521
6963	22.957783
7063	21.868174
7164	22.995325
7265	21.679125
7366	25.960417
7467	31.222271
7567	29.439013
7667	28.237253
7768	30.280731
7869	28.758266
7970	30.765015
8070	32.49405
8171	36.418755
8272	33.215477
8373	31.71031
8474	30.176456
8575	29.894724
8677	30.311424
8778	33.924797
8879	36.792957
8980	37.38991
9081	35.254837
9181	32.287586
9282	34.39615
9383	31.623226
9484	32.37496
9586	32.372665
9686	31.291609
9787	30.540625
9888	30.540625
9990	39.682716
