time	latency
0	0.0
103	0.0
203	0.0
304	0.0
406	0.0
506	0.0
607	1.7000004
708	1.7000004
808	2.6300006
909	5.0670013
1010	5.0670013
1111	21.814274
1212	20.159561
1313	20.159561
1413	20.159561
1514	24.31032
1615	24.31032
1715	51.661366
1815	48.39523
1916	49.810135
2017	63.529125
2119	58.176212
2220	53.15859
2321	53.15859
2422	67.44273
2523	57.398613
2624	47.912872
2726	39.315483
2826	40.68299
2926	35.113224
3027	32.7019
3127	35.670685
3228	50.60362
3329	39.158035
3430	39.158035
3530	45.96801
3631	43.37121
3731	59.934093
3832	59.877754
3933	45.49588
4033	88.54985
4134	56.84365
4234	43.713017
4335	58.01838
4436	43.750393
4537	36.477814
4638	27.28159
4739	47.623283
4840	41.00067
4941	32.76349
5042	48.98843
5143	48.98843
5245	48.10748
5346	170.73438
5447	92.768524
5547	62.976524
5666	62.976524
5767	63.701405
5868	34.16353
5970	43.065758
6071	37.849674
6171	38.666412
6272	27.696861
6372	24.047842
6473	20.32875
6574	37.303295
6675	33.972965
6776	20.05279
6877	51.68834
6978	30.993484
7079	63.683254
7180	65.75719
7280	70.565056
7381	71.231476
7482	36.6779
7583	23.634018
7685	38.494484
7789	60.69004
7890	36.876472
7992	37.326946
8092	45.50996
8193	28.953438
8294	33.20817
8394	37.833485
8494	34.804268
8595	17.366518
8696	75.58047
8797	88.62018
8898	40.7994
8998	90.53579
9099	47.5059
9199	36.574398
9303	27.989735
9410	21.329151
9511	22.696236
9612	22.974098
9713	22.974098
9813	21.45929
9914	12.651764
10016	10.631134
10116	77.321106
10218	77.321106
10318	77.321106
