time	latency
0	0.0
101	0.0
202	0.0
303	0.0
406	2.7350008
507	2.7350008
608	6.4482517
708	6.4482517
809	7.77584
910	7.77584
1010	7.937048
1111	24.00569
1211	34.137638
1313	30.97976
1413	35.199234
1514	35.357117
1615	33.98926
1722	40.19281
1823	49.683174
1924	47.969067
2025	44.72458
2126	42.721428
2226	36.51107
2326	35.185516
2427	32.632427
2528	31.400805
2628	30.036726
2728	31.796795
2828	38.79161
2929	41.70567
3030	43.009365
3130	43.8089
3230	43.8089
3331	44.50503
3432	50.079784
3532	50.700283
3633	51.042004
3733	57.216812
3834	48.225647
3936	35.317955
4037	28.585913
4138	27.71116
4239	22.009104
4340	20.685713
4441	18.87866
4541	21.08299
4642	21.39014
4742	20.0846
4844	33.230373
4944	38.668854
5044	28.082468
5145	26.878345
5246	22.905787
5346	23.337355
5447	22.266962
5547	23.825405
5648	20.050766
5749	17.173449
5850	12.752777
5951	11.055433
6051	10.408813
6152	8.485087
6253	12.485403
6353	22.351816
6454	19.202665
6555	46.435413
6655	42.547962
6756	34.933365
6857	25.415024
6957	20.908764
7058	20.063326
7159	31.155462
7260	21.189306
7360	16.978346
7462	18.667099
7562	17.45283
7662	22.466402
7762	17.153898
7863	13.318118
7964	13.856851
8065	13.856851
8165	28.974117
8266	30.8745
8367	26.72625
8468	23.427784
8569	23.427784
8670	28.148123
8771	35.745438
8871	43.705936
8971	35.245102
9072	30.881393
9173	43.445206
9274	37.22587
9375	32.53453
9476	41.338024
9576	34.062813
9676	26.964176
9777	27.718882
9878	26.786678
9978	19.482756
10080	16.86582
10181	21.738585
10282	21.738585
10382	21.738585
